id;nom;fichier;fonctions;entrees;versionne_par_run;run_lu;cache;preuve
division_or;Divisibilité (division d'or);src/labuse/ingestion/division_or.py;build (CLI division-or), revue par commune;parcels, bâti (CoSIA), PLU → cadastre_api_carto, cosia, gpu_plu_api_carto;oui;EN RETARD : lignes q_v10_m129 (SELECT 05/09) lues SANS filtre de run (app.py:1573,2696) — workflow de revue toléré par la garde;aucun;"src/labuse/ingestion/division_or.py:24-30 ; src/labuse/api/app.py:1573,2692-2696 ; src/labuse/bascule_gardes.py:663-665"
flags;Drapeaux parcelle (tuiles + filtres);src/labuse/cli.py (build-mvt);build_mvt;dryrun_*, spatial_layers, parcel_p_score_v2 → (dérivé cascade + scoring);oui;constante_unique (reconstruit détaché à la bascule);tuiles MVT (api/tiles.py _CACHE, invalidé par mvt_meta);"src/labuse/api/dashboard.py:1428-1443 ; parcel_flags.run_label=q_v11_m137 ; mvt_meta run_label=q_v11_m137 (SELECT 05/09)"
plu_destinations;Destinations PLU par zone;src/labuse/plu/destinations.py;lecture du règlement calibré;parcel_zone_plu, config/plu_*.yaml → gpu_plu_api_carto, sudocuh;non;live;lru_cache YAML (config.py:313-326);"src/labuse/plu/destinations.py ; src/labuse/api/moteurs.py:56-124"
taxe_amenagement;Calculette taxe d'aménagement;src/labuse/taxe_amenagement.py;calcul ligne-à-ligne (taux communal SAISI, jamais un défaut);config/taxe_amenagement.yaml (daté) → (constantes réglementaires);non;live;aucun;"src/labuse/taxe_amenagement.py ; config/taxe_amenagement.yaml"
v_score;Événements propriétaire (score V);src/labuse/ingestion/score_v_fetch.py;fetch + build signaux datés;bodacc_*, sirene_etablissements, dvf_mutations → bodacc, sirene_etablissements, dvf;non;live (signaux datés consommés par scoring_p_v2);aucun;"src/labuse/ingestion/score_v_fetch.py ; src/labuse/cli.py:2502 ; parcel_v_score"
marche_service;Prix : point d'appel unique (fiche, outils, PDF, Copilote);src/labuse/marche_service.py;marche_dvf, permits, comparables, filtre_ventes, phrase_prix_ancien, neuf_vefa_seuil;dvf_mutations_parcelle, dvf_secteur_medianes, neuf_vefa_commune, sitadel_permits → dvf, sitadel;non;live;aucun;src/labuse/marche_service.py (0-bis : renommé depuis marche_communes — EXPORTS-1 lot 1, point d'appel unique)
potentiel;Potentiel (au sol / en hauteur / table rase + verdict);src/labuse/faisabilite/potentiel.py;bloc_potentiel, surelevation;parcel_residuel, parcel_faisabilite, spatial_layers(batiment) → bd_topo, cosia, gpu_plu_api_carto;oui;run servi (garde de lecture zone dominante ZONE-1);aucun;src/labuse/faisabilite/potentiel.py (EXPORTS-1 lot 3 — table orpheline débranchée)
zone_servie;Zone servie d'UNE parcelle (dominante par surface, a_cheval, zone_parts);src/labuse/faisabilite/zone_servie.py;zone_dominante, garde_sdp_residuelle, zone_fam_ecran;parcel_zone_plu, parcels → gpu_plu_api_carto;non;live;aucun;src/labuse/faisabilite/zone_servie.py (ZONE-1) — NE PAS confondre avec registre/moteurs/zonage.py (zonage_commune : parts d'une commune)
bilan_promoteur;Bilan promoteur (faisabilité);src/labuse/faisabilite/bilan.py;compute (charge foncière, marge);sector_price, parcel_residuel, taxe_amenagement → dvf, cadastre_api_carto;non;live;aucun;src/labuse/faisabilite/bilan.py
proprietaire_historique;Timeline propriétaire PM (versionné∪servi);src/labuse/proprietaire_historique.py;timeline, diff CONSTAT;pm_proprietaires_millesimes, parcelle_personne_morale → dgfip_parcelles_pm;non;live;aucun;src/labuse/proprietaire_historique.py (NOT EXISTS anti-doublon, servi jamais écrasé)
cycle_pige;Cycle de vie d'une annonce Radar;src/labuse/pige/cycle.py;en_vente_longue, a_reverifier, vendue (DVF Sourcé seul), retiree_sans_vente;pige_biens, dvf_mutations_parcelle → radar_pige, dvf;non;live (cron radar-cycle quotidien);aucun;"src/labuse/pige/cycle.py ; deploy/cron.d-labuse (30 2 * * *)"
contexte_parcelle;Contexte de fiche (risques, réseaux, mairie…);src/labuse/cascade/context.py;assemblage contexte fiche;spatial_layers (géorisques, ppr, bruit…), mairies, data_sources → georisques_*, deal_ppr, bruit_itt_cerema;non;live;aucun;src/labuse/cascade/context.py:525
loyers;Loyers (estimation locative);src/labuse/loyers.py;estimation;DOUTE (tables lues à confirmer);non;live;aucun;src/labuse/loyers.py (DOUTE sur les entrées exactes)
zonage_commune;Parts de zonage d'une commune (surface, somme 100 %);src/labuse/registre/moteurs/zonage.py;parts_zonage_surface, parcelles_par_zone;parcel_zone_plu, parcels → gpu_plu_api_carto, cadastre_api_carto;non;live;aucun;src/labuse/registre/moteurs/zonage.py (CIRCUIT-1 2.1 — NE PAS confondre avec zone_servie : la zone d'UNE parcelle)
commune_compteurs;Compteurs de la maille commune (comparateur, fiche, corpus PLU, permis, piscines);src/labuse/registre/moteurs/commune.py;indicateurs_communes, composite_communes, compte_parcelles_commune, mutations_12m, pct_parcelles_couche, vacance_pct, qpv_commune, autres_loges_pct, couverture_sources, etat_corpus_plu, compte_permis_commune, permis_point_mort, compte_piscines;parcels, parcel_p_score_v2, m10_permit_delais, sitadel_permits, commune_contexte_sru, commune_conso_enaf, dvf_mutations, spatial_layers, commune_insee_logement, parcel_equipements, pige_biens → sitadel, dvf, sru_dhup, deal_ppr, qpv_2024, insee_rp_logement, bd_ortho, gpu_plu_api_carto, sudocuh;non;live (stock/point_mort lisent le run servi en paramètre);aucun (les caches TTL restent aux robinets — _mem_cached o6);src/labuse/registre/moteurs/commune.py (CIRCUIT-2 lot 1.6 — extractions de comparateur.py, fiche_commune.py, modules.py, app.py)
parcelle_proximites;Proximités d'une parcelle (KNN) + assemblage;src/labuse/registre/moteurs/parcelle.py;plus_proche, assemblage_assiette (délégation api/moteurs.py:assemblage);spatial_layers, parcels → gtfs_pan, osm_transport, bd_topo, cadastre_api_carto;non;live;aucun;src/labuse/registre/moteurs/parcelle.py (CIRCUIT-2 lot 1.6 — KNN extrait de app.py:_plus_proche ; assemblage = délégation, une seule vérité)
plateforme_compteurs;Compteurs globaux de la plateforme (accueil, pilotage, notifications, kanban, Radar admin);src/labuse/registre/moteurs/plateforme.py;compte_parcelles_ile, bascules_tiers_hauts, comptes_actifs, conso_ia_mois, conso_ia_30j, usage_par_outil, notifications_non_lues, cartes_par_colonne, depots_a_verifier;p_score_v2_runs, parcel_p_score_v2, comptes, ia_log, usage_events, event_log, pipeline_entries, pige_faits → cadastre_api_carto, radar_pige;non;live (parcelles/bascules lisent les runs servis en paramètre);aucun (le cache 1 h de l'accueil reste au robinet);src/labuse/registre/moteurs/plateforme.py (CIRCUIT-2 lot 1.6 — extractions d'accueil.py, dashboard.py, events.py, crm_columns.py, pige/api.py)
anc;Assainissement (part tout-à-l'égout, maille IRIS repli commune);src/labuse/anc_service.py;statut_anc;insee_rp2022_egoul (IRIS) → insee_rp2022_egoul;non;live;aucun;src/labuse/anc_service.py (délégation — le calcul vit chez le producteur, une seule vérité)
bati_revele;Bâti révélé (emprise + nombre de bâtiments par parcelle);src/labuse/faisabilite/bati_revele.py;build_parcel_bati_revele;spatial_layers(batiment), CoSIA → bd_topo, cosia;oui;run servi (table parcel_bati_revele);aucun;src/labuse/faisabilite/bati_revele.py (délégation — le calcul vit chez le producteur)
flux;Flux des sources (écran Circuit : comptes, veilles, fraîcheur);src/labuse/flux.py;construire_flux, snapshot_source_millesimes;data_sources, source_veille → (métadonnées d'ingestion, aucun réservoir métier);non;live;aucun;src/labuse/flux.py (délégation — n_sources = WHERE_AFFICHEES canonique, n_sources_surveillees = comptes.surveillees)
golden_ops;Comparaison candidat vs servi (distribution des tiers);src/labuse/golden_ops.py;comparer, candidat;parcel_p_score_v2, p_score_v2_runs → (dérivé du scoring);oui;parametre (candidat + servi);_DISTRIB_CACHE (mémo par run réel);src/labuse/golden_ops.py (délégation — lecture seule, jamais de bascule)
copilote_outils;Outils déterministes du Copilote (compte de parcelles = facette canonique);src/labuse/copilote_v2/outils.py;compter_parcelles;parcels, parcel_p_score_v2, parcel_zone_plu → cadastre_api_carto;non;run servi (même facette que le filtre écran, égalité verrouillée);aucun;src/labuse/copilote_v2/outils.py:130-219 (délégation — le calcul vit chez le producteur)
