id;url_producteur_connue;format_du_millesime;raison_non_surveillee;page_rendue_en_js;piste
insee_rp_logement;https://www.insee.fr/fr/statistiques/fichier/8997194/base_cc_logement_2023_xlsx.zip;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
plh_epci;https://www.reunion.developpement-durable.gouv.fr/IMG/pdf/20191205_rapport-cdhh-091219.pdf;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
rtaa_dom;https://www.legifrance.gouv.fr/loda/id/JORFTEXT000020530547;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
sup_gpu;https://apicarto.ign.fr/api/gpu/assiette-sup-s;DOUTE;"API Carto GPU (assiette-sup-s) par géométrie — pas de millésime global lisible ; interrogé en direct.";DOUTE;identifier une URL amont datée (aucune connue au code)
recherche_entreprises_dinum;https://recherche-entreprises.api.gouv.fr/search;état courant (agrégat);"Y3 : requête témoin `?departement=974` testée → `total_results` plafonné à 10000 (non exploitable) ; agrégat Sirene/RNE en direct, déjà couvert par la veille SIRENE (data.gouv).";non;déjà couvert par la veille SIRENE data.gouv (sentinelle.py:505)
cinquante_pas_deal;https://deal974.lizmap.com/cartes/index.php/lizmap/service?repository=00cartogenerale&project=deal_reunion;cadastre 1877 géoréférencé (quasi statique);"Y1 : WFS Lizmap DEAL de nouveau joignable mais sans projet/date lisible ; 0 jeu data.gouv (« 50 pas », « pas géométriques »). Limite domaniale dérivée du cadastre 1877 géoréférencé — donnée quasi statique, aucun millésime ni empreinte amont.";DOUTE;"considérer statique ; revisite annuelle manuelle"
pvgis;https://re.jrc.ec.europa.eu/api/v5_3/PVcalc;version d'API dans l'URL (v5_3);"API de CALCUL (v5.3 dans l'URL) — pas de jeu à millésime, le service ne versionne pas de données à comparer ; aucune requête témoin actionnable (réponse dérivée d'un modèle, pas d'une donnée ingérée).";non;témoin : la version dans l'URL change → nouvelle major (sentinelle.py:526)
edf_sei_opendata;https://opendata-reunion.edf.fr/api/explore/v2.1/;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
odre_registre_installations;https://odre.opendatasoft.com/api/explore/v2.1/;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
parkings_osm_aper;https://overpass-api.de/api/interpreter;DOUTE;OSM en flux continu, interrogé en direct (cf. « OpenStreetMap / Overpass ») — témoin de comptage non représentatif ni actionnable.;DOUTE;identifier une URL amont datée (aucune connue au code)
sudocuh;https://www.data.gouv.fr/api/1/datasets/r/61541a0f-e9b0-43dc-bace-6c3905714400;état des lieux annuel au 31/12;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;non;last_update du jeu data.gouv Sudocuh (API dataset)
gpu_zonage_assainissement;https://apicarto.ign.fr/api/gpu/municipality/document/info-surf;idurba par commune;API Carto GPU par géométrie (mêmes limites que « Urbanisme PLU/GPU » : pas de millésime global, interrogé en direct sans snapshot ingéré).;non;témoin info-surf par commune (même logique que le PLU)
rge_alti_5m;https://geoservices.ign.fr/rgealti;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
gpu_assainissement_infosurf;https://apicarto.ign.fr/api/gpu/info-surf;DOUTE;Doublon du GPU assainissement (canal info-surf) — même amont, non re-surveillé.;DOUTE;identifier une URL amont datée (aucune connue au code)
office_eau_chroniques;https://eaureunion.fr/fileadmin/user_upload/Chroniques/2025/25.12.17_CHRONIQUES_de_L_EAU_149.pdf;chronique numérotée (n°149), nouvelle URL par édition;DOUTE;DOUTE;"page de listing des Chroniques si elle existe ; sinon rappel annuel (posé)"
zfang;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000054153903;JORFTEXT (nouvel id à chaque texte);"Y1 : 0 jeu data.gouv (ZFANG/zone franche outre-mer) ; la page JORF n'a ni ETag ni Last-Modified (Cache-Control no-store → `entete` illisible) et son HTML n'est pas déterministe (jetons dynamiques) → `page` non fiable ; un texte modifié reçoit un nouvel identifiant JORFTEXT.";DOUTE;veille data.gouv « ZFANG » périodique + alerte Légifrance manuelle
frr_ex_zrr;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000049746820;JORFTEXT;"Y1 : les jeux data.gouv « FRR » trouvés sont DÉPARTEMENTAUX (Charente, Corrèze, Nièvre), aucun national ni Réunion ; la page JORF n'a ni ETag ni Last-Modified et son HTML n'est pas déterministe → ni `entete` ni `page` fiable.";DOUTE;idem ZFANG (textes)
osm_transport;https://overpass-api.de/api/interpreter;DOUTE;OSM en flux continu, interrogé en direct (cf. « OpenStreetMap / Overpass ») — témoin de comptage non représentatif ni actionnable.;DOUTE;identifier une URL amont datée (aucune connue au code)
znieff_region_ods;https://data.regionreunion.com/api/explore/v2.1/catalog/datasets/zones-naturelles-d-interet-ecologique-faunistique-et-floristique-a-la-reunion/records;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
radar_pige;;collecte humaine;DOUTE;non;rappel Y4 déjà posé (7 j) — pas d'agent
mobpro;https://www.insee.fr/fr/statistiques/7630376;millésime RP;Import CSV manuel ABANDONNÉ pour l'étude de zone — pas d'URL de version stable, et pas de rafraîchissement attendu (aucun rappel Y4).;non;abandonné — pas d'agent (sentinelle.py:523)
tcsp_osm;https://overpass-api.de/api/interpreter;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
ecln;;DOUTE;métropole seule, N/A DOM — aucun stock/écoulement servi, jamais extrapolé;DOUTE;identifier une URL amont datée (aucune connue au code)
lovac;;DOUTE;convention dédiée non instruite — prédicteur vacance absent du scoring;DOUTE;identifier une URL amont datée (aucune connue au code)
